Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
35,"[688, 281, 345]",61,24,"[16, 7, 0, 19, 21, 6, 22, 8, 20, 23, 4, 11, 5, 17, 10, 18]","[4340, 160, 2483, 35, 3798, 229, 4823, 4725, 2958, 2182, 2294, 2716, 3628, 4412, 471, 2615, 2775, 1783, 2040, 680, 3711, 2844, 33, 5044]","[4340, 160, 2483, 229, 4823, 35, 4725, 2182, 4412, 2615, 2716, 1783, 680, 3711]"
36,"[830, 248, 534]",194,46,"[0, 12, 21, 19, 14, 5, 20, 7, 9, 22, 8, 16, 3]","[36, 670, 1706, 1680, 789, 1219, 3365, 4393, 33, 3950, 3772, 3839]","[36, 670, 1706, 1680, 789, 33, 3772, 1219, 3365, 3839]"
37,"[414, 356, 776, 519, 527, 88, 58, 291, 612, 526, 691, 899, 489, 250, 295, 805, 756, 877, 995, 101]",12,24,"[20, 7, 21, 19, 23, 9, 10, 18, 13, 3, 8, 17, 22]","[2357, 39, 4049, 1775, 784, 1935, 662, 478, 4642, 1347, 4164, 1496, 1580, 1951, 2747, 2823, 3518, 4119, 3353, 968, 3564, 1820, 2325, 3461, 993, 1621, 1639, 4359, 2174, 1519, 2838, 2364, 2074, 1135, 444, 3760, 221, 3670, 4001]","[2357, 39, 4642, 4049, 4164, 1580, 2747, 2823, 4119, 3353, 3564, 2325, 993, 784, 1935, 1639, 662, 2174, 2838, 1775, 1135, 3760, 3670]"
38,"[459, 390]",49,24,"[11, 17, 18, 21, 22, 0, 10, 15, 20, 19, 16, 12, 9, 13]","[95, 38, 3366, 2272, 3703, 1020, 1900, 5053, 2020, 2876, 1443, 4829, 29, 5135, 557, 2556, 2141, 3488, 2943, 5007, 3805, 747, 1627, 1480]","[95, 38, 3703, 3366, 1020, 2272, 1443, 5053, 5135, 2556, 3488, 3805, 1900, 747, 2020, 1480]"
39,"[414, 130, 752, 655, 991, 691, 1067, 649, 692, 889, 488, 495, 904, 995]",98,24,"[13, 11, 22, 17, 21, 8, 16, 15, 20]","[37, 1943, 1518, 974, 4182, 3888, 3488, 2206, 4119, 4001, 1910, 1007, 4849, 1639, 4148, 265, 4393, 1994, 787, 4560, 1225, 1460, 3827, 376, 3670, 1556, 1775]","[974, 4182, 3488, 4119, 1910, 4849, 37, 265, 1994, 4560, 1943, 1460, 376, 3670, 1775]"
40,"[1014, 193, 412, 991, 776, 798, 489]",114,67,"[11, 12, 13, 14]","[4838, 2798, 937, 2194, 1120, 4681, 3437, 2281, 3602, 4754, 2000, 4924, 2140, 530, 535, 2970, 4887, 2364, 2186, 4709, 3474, 3812, 667, 4137, 4359, 1264, 1677, 445, 1460, 3737, 1469, 619, 4489, 1051]","[4838, 937, 3437, 3602, 2194, 2798, 4924, 2140, 1120, 530, 2970, 4887, 2364, 2186, 667, 4137, 4359, 1264, 445, 2000, 1469, 619]"
41,"[364, 690, 59, 502, 462, 213, 174, 425]",83,67,"[8, 20, 14, 22, 15, 19, 7, 13, 17, 16, 18]","[41, 998, 4332, 1974, 1759, 4513, 2453, 1648, 4, 3600, 4217, 4793, 559, 2239, 1198, 2073, 4964, 213, 852, 4140, 4393, 1985, 4931, 1389, 2439, 1503, 64, 3611]","[41, 4332, 4513, 998, 2453, 4, 4217, 559, 1198, 4964, 1974, 852, 4393, 1985, 1389, 1503, 3611]"
42,"[294, 461, 170, 667, 460, 532, 81, 924, 508, 1071, 478, 702, 176]",17,67,"[5, 1, 16, 4, 2, 3, 13, 21, 18]","[1197, 1880, 1785, 1323, 1353, 1560, 3270, 4514, 5126, 4282, 2099, 1647, 751, 1948, 4511, 1264, 3274, 4154, 484, 2178, 4306, 1992, 3580, 3037, 5107, 4103, 619, 4066]","[1197, 1560, 4514, 4282, 2099, 1323, 751, 4511, 3274, 1353, 484, 4306, 3580, 5107, 4103, 4066]"
43,[640],110,54,"[10, 11, 9, 19, 7, 0, 13, 22, 8]","[4531, 43, 1550, 300, 4862, 3519, 4517, 303]","[43, 4531, 300, 4862, 3519, 1550, 4517]"
44,"[1038, 339, 155, 567]",45,2,"[15, 17, 12, 10, 14, 16, 18, 11, 13]","[898, 3672, 3466, 1408, 1855, 2289, 44, 3712, 3628, 1599, 2654, 3434, 3519, 5061, 2882, 470, 2387]","[3466, 898, 1408, 1855, 3712, 3672, 3628, 1599, 2654, 3434, 3519, 2882, 44, 2387]"
45,[931],107,7,"[10, 9, 8, 19, 11]","[4802, 4031, 296, 2954, 4890, 45, 470]","[4031, 2954, 4802, 296, 45, 470, 4890]"
46,[645],70,1,"[10, 11, 9, 16]","[46, 4393, 5134, 4617, 120, 4002, 1629, 1217, 4000]","[46, 5134, 4617, 4002, 4393, 1629, 4000]"
47,"[497, 74]",83,20,"[9, 11, 10, 12]","[47, 4594, 5041, 505, 3864, 3192, 1460, 602, 2289, 2035, 3812, 3488, 1352, 3735, 419, 3951, 1668, 4566]","[47, 5041, 4594, 602, 2289, 2035, 3488, 3735, 3864, 3192, 419, 1668]"
48,"[871, 1052]",117,74,"[6, 11, 7, 18, 9, 12, 15, 10]","[48, 1902, 4393, 546, 1128, 2364, 3234, 1629, 4855, 1427, 2573, 2325, 1515, 2284, 1831, 1820, 3413, 747, 3335, 3459, 3859, 2486, 3812, 2970, 1552, 4134]","[48, 1902, 4855, 1427, 2573, 1515, 546, 4393, 1128, 2284, 2364, 1831, 3234, 3413, 747, 3459, 2486, 2970, 4134]"
49,[801],67,36,"[2, 22, 3, 0, 9, 1, 23]","[49, 745, 3884, 3186, 180, 4153, 775, 4024, 869, 3604, 4995, 3549]","[49, 3186, 4024, 745, 3884, 3604, 180, 3549]"
50,[780],67,30,"[17, 16, 23, 9, 20, 14, 18, 19, 21]","[50, 3461, 4246, 652, 339, 603, 1197]","[50, 4246, 3461, 339, 652, 603]"
51,"[595, 900, 309, 760, 307]",40,54,"[14, 10, 0, 20, 9, 19, 16, 18, 17, 23, 1, 8, 15, 12, 4, 2]","[51, 3519, 2043, 385, 2334, 3749, 274, 2859, 4393, 1314, 1393, 1235, 1124, 996, 1517, 3853, 888, 2726, 285, 4791, 4145, 1197, 547, 1919, 5071, 2503, 3856, 3417, 2237, 123, 2744, 2591, 5120, 66, 3185, 1460, 4101, 445, 510, 120, 4517, 1060, 2239, 619, 2604]","[3519, 51, 2043, 385, 3749, 4393, 2334, 274, 1124, 1517, 3853, 285, 1197, 547, 2503, 3417, 2591, 5120, 3185, 1235, 1393, 510, 120, 2604]"
52,[530],129,54,"[8, 9, 12, 10]","[2127, 3651, 274, 1294, 4101, 1469, 2699, 4543, 1264, 2308, 4182]","[2127, 3651, 1469, 2699]"
53,"[42, 957, 575, 371, 878]",59,65,"[17, 20, 14, 15, 23, 22, 16, 19]","[5, 2092, 2265, 4060, 2000, 2841, 387, 873, 2371, 460, 1960, 1865, 888, 2391, 2668, 2349, 2915, 4323]","[2265, 5, 2841, 873, 460, 2092, 1865, 2391, 2349, 4323]"
54,"[180, 106, 897, 336]",57,63,"[14, 8, 6, 13, 5, 15]","[856, 167, 2344, 3122, 3905, 54, 4556, 2373, 3383, 4489, 3910, 5080, 1740, 653, 1218, 2410, 1450]","[856, 167, 3383, 3910, 3905, 1740, 1218, 54, 4556, 2344, 1450]"
55,[328],171,30,"[8, 7]","[3218, 150, 1691, 3517, 648, 362, 1265, 3425]","[3218, 150, 648, 1691]"
56,[557],89,91,"[17, 13, 18, 10, 16, 14, 15, 8]","[763, 2802, 5056, 2996, 56, 3306, 4566, 2676, 3321]","[763, 2802, 5056, 56, 2996]"
57,[656],117,21,"[13, 9, 14, 8, 10, 11, 7, 18]","[57, 3376, 801, 1713, 4239, 1558]","[57, 3376, 801, 1713, 4239]"
58,"[512, 399]",140,67,"[12, 13, 11]","[1439, 1659, 1216, 2317, 2562, 4342, 2141]","[1659, 1439, 2317, 4342, 2141]"
59,"[1046, 949, 270, 1030, 895, 588, 613, 330, 276, 201, 88, 968]",34,67,"[16, 11, 10, 14, 18, 15, 12]","[2141, 503, 1347, 2073, 767, 236, 5072, 3367, 4166, 70, 4489, 1904, 1572, 3318, 1398, 631, 5133, 3679, 547, 3519, 4001, 5030, 4242]","[1347, 2141, 236, 3367, 70, 1904, 3318, 1398, 5133, 547, 4001, 4242]"
60,[984],89,24,"[14, 9, 13, 10, 15, 8, 11, 12, 18, 19]","[418, 1878, 2963, 4365, 2298, 3052, 213, 4770, 660, 1503, 3771, 666]","[418, 1878, 4770, 4365, 2963, 213]"
61,"[618, 703, 776, 650, 42, 10, 777, 1033, 20, 333, 601, 668]",44,54,"[23, 20, 22, 1, 21, 18, 0]","[4455, 3871, 4039, 2249, 3308, 512, 1460, 4060, 5085, 4452, 4778, 2264, 667, 300, 3648, 3060, 3374, 4167, 2555, 934, 3349, 2860, 3171, 1704, 2515, 2409]","[2249, 512, 4060, 4452, 2264, 300, 3648, 3374, 2555, 3349, 4455, 1704, 3871, 2409]"
62,"[1065, 49, 466, 182, 790, 268, 702, 646, 436, 668, 585]",12,54,"[0, 21, 23, 2, 1, 3]","[862, 4054, 819, 4006, 5112, 171, 3519, 4536, 486, 2494, 3135, 3326, 706, 4692, 3865, 843, 3711, 1662, 5023, 3023, 4999, 1890]","[4054, 171, 4536, 486, 3135, 706, 3865, 3711, 5023, 3023, 4006, 1890]"
