Uid,Pid,Time
539,549,2012-04-03 15:29
313,4661,2012-04-03 15:30
204,4367,2012-04-03 15:33
990,4816,2012-04-03 15:33
1050,1880,2012-04-03 15:33
780,339,2012-04-03 15:35
915,4766,2012-04-03 15:36
228,1334,2012-04-03 15:36
83,3572,2012-04-03 15:37
140,4420,2012-04-03 15:38
194,244,2012-04-03 15:38
174,2801,2012-04-03 15:40
279,527,2012-04-03 15:40
155,1408,2012-04-03 15:42
677,2909,2012-04-03 15:43
572,1440,2012-04-03 15:45
906,486,2012-04-03 15:47
737,1760,2012-04-03 15:48
1046,4865,2012-04-03 15:50
40,967,2012-04-03 15:50
216,716,2012-04-03 15:50
367,3785,2012-04-03 15:51
173,2702,2012-04-03 15:54
949,4165,2012-04-03 15:54
658,106,2012-04-03 15:54
147,1460,2012-04-03 15:54
299,302,2012-04-03 15:57
299,3589,2012-04-03 15:58
538,4743,2012-04-03 15:59
572,162,2012-04-03 16:00
168,4393,2012-04-03 16:01
926,146,2012-04-03 16:03
119,3534,2012-04-03 16:04
306,4072,2012-04-03 16:04
764,735,2012-04-03 16:05
764,735,2012-04-03 16:05
240,4296,2012-04-03 16:05
154,1050,2012-04-03 16:05
1064,90,2012-04-03 16:07
572,1093,2012-04-03 16:07
109,3086,2012-04-03 16:07
767,1084,2012-04-03 16:08
904,451,2012-04-03 16:08
594,220,2012-04-03 16:09
688,35,2012-04-03 16:10
688,4340,2012-04-03 16:11
915,977,2012-04-03 16:11
615,1833,2012-04-03 16:11
240,4854,2012-04-03 16:11
615,3653,2012-04-03 16:11
949,4761,2012-04-03 16:11
615,3790,2012-04-03 16:15
243,189,2012-04-03 16:18
108,4340,2012-04-03 16:21
490,2760,2012-04-03 16:21
915,1596,2012-04-03 16:23
228,4583,2012-04-03 16:26
909,1347,2012-04-03 16:26
315,933,2012-04-03 16:27
270,3758,2012-04-03 16:27
157,371,2012-04-03 16:27
910,2122,2012-04-03 16:27
61,154,2012-04-03 16:29
321,4768,2012-04-03 16:32
163,14,2012-04-03 16:34
913,3046,2012-04-03 16:38
240,163,2012-04-03 16:38
138,1838,2012-04-03 16:39
310,2495,2012-04-03 16:40
41,1373,2012-04-03 16:41
699,1873,2012-04-03 16:42
759,5044,2012-04-03 16:43
12,311,2012-04-03 16:45
1015,304,2012-04-03 16:45
12,311,2012-04-03 16:46
915,4694,2012-04-03 16:46
489,2798,2012-04-03 16:48
216,1462,2012-04-03 16:49
157,3116,2012-04-03 16:50
157,4614,2012-04-03 16:50
534,4284,2012-04-03 16:52
228,245,2012-04-03 16:52
61,5128,2012-04-03 16:54
861,1140,2012-04-03 16:55
61,4469,2012-04-03 16:55
861,2169,2012-04-03 16:55
61,3676,2012-04-03 16:56
996,3699,2012-04-03 16:57
212,1460,2012-04-03 16:57
996,913,2012-04-03 16:57
313,4661,2012-04-03 16:58
259,3040,2012-04-03 16:58
163,1576,2012-04-03 17:00
308,1498,2012-04-03 17:00
352,3220,2012-04-03 17:00
808,1757,2012-04-03 17:01
1063,4121,2012-04-03 17:02
61,709,2012-04-03 17:02
915,2559,2012-04-03 17:03
260,363,2012-04-03 17:09
476,4772,2012-04-03 17:10
286,2673,2012-04-03 17:12
851,5135,2012-04-03 17:12
1011,4850,2012-04-03 17:13
367,925,2012-04-03 17:13
851,3440,2012-04-03 17:14
951,3884,2012-04-03 17:14
712,3173,2012-04-03 17:14
297,4114,2012-04-03 17:15
175,4365,2012-04-03 17:15
1024,4393,2012-04-03 17:16
735,447,2012-04-03 17:17
467,3116,2012-04-03 17:18
24,1116,2012-04-03 17:21
561,1050,2012-04-03 17:24
328,2201,2012-04-03 17:24
328,1494,2012-04-03 17:26
394,2456,2012-04-03 17:26
270,2488,2012-04-03 17:27
258,4968,2012-04-03 17:29
232,1690,2012-04-03 17:31
994,3789,2012-04-03 17:32
260,2253,2012-04-03 17:32
35,3251,2012-04-03 17:33
139,5,2012-04-03 17:33
205,2217,2012-04-03 17:33
109,429,2012-04-03 17:34
260,1885,2012-04-03 17:34
913,645,2012-04-03 17:34
953,1533,2012-04-03 17:35
724,190,2012-04-03 17:35
336,4494,2012-04-03 17:36
913,706,2012-04-03 17:36
468,2357,2012-04-03 17:37
1055,1345,2012-04-03 17:38
153,1862,2012-04-03 17:38
930,4683,2012-04-03 17:38
400,3736,2012-04-03 17:38
775,4704,2012-04-03 17:41
764,2369,2012-04-03 17:42
347,3456,2012-04-03 17:42
994,1680,2012-04-03 17:42
994,2286,2012-04-03 17:43
583,3562,2012-04-03 17:44
855,4593,2012-04-03 17:44
98,2650,2012-04-03 17:44
827,4067,2012-04-03 17:46
270,236,2012-04-03 17:48
496,2002,2012-04-03 17:50
439,4441,2012-04-03 17:50
598,4444,2012-04-03 17:51
915,4939,2012-04-03 17:51
598,369,2012-04-03 17:51
396,4356,2012-04-03 17:52
279,610,2012-04-03 17:52
738,2510,2012-04-03 17:52
467,2961,2012-04-03 17:53
396,624,2012-04-03 17:54
247,3799,2012-04-03 17:54
396,1698,2012-04-03 17:54
229,1197,2012-04-03 17:55
724,401,2012-04-03 17:55
831,4110,2012-04-03 17:55
831,1075,2012-04-03 17:56
909,2551,2012-04-03 17:56
909,3810,2012-04-03 17:56
174,2801,2012-04-03 17:57
168,4596,2012-04-03 17:57
259,1243,2012-04-03 17:58
625,2717,2012-04-03 17:58
119,1042,2012-04-03 17:59
166,2143,2012-04-03 18:00
972,330,2012-04-03 18:01
451,2626,2012-04-03 18:02
559,3029,2012-04-03 18:03
980,1790,2012-04-03 18:03
81,1823,2012-04-03 18:04
270,3525,2012-04-03 18:05
985,625,2012-04-03 18:05
186,1004,2012-04-03 18:06
922,3488,2012-04-03 18:07
64,2768,2012-04-03 18:08
867,3575,2012-04-03 18:08
840,470,2012-04-03 18:11
279,3161,2012-04-03 18:11
30,547,2012-04-03 18:12
827,4303,2012-04-03 18:13
90,453,2012-04-03 18:13
338,249,2012-04-03 18:14
994,229,2012-04-03 18:14
40,1589,2012-04-03 18:15
96,2808,2012-04-03 18:16
453,864,2012-04-03 18:16
299,2137,2012-04-03 18:18
733,2039,2012-04-03 18:18
1083,3461,2012-04-03 18:18
551,4229,2012-04-03 18:18
551,623,2012-04-03 18:18
336,682,2012-04-03 18:19
960,1273,2012-04-03 18:19
279,612,2012-04-03 18:19
436,3730,2012-04-03 18:20
937,4847,2012-04-03 18:21
436,4490,2012-04-03 18:21
969,1120,2012-04-03 18:23
983,4524,2012-04-03 18:24
98,707,2012-04-03 18:24
1025,1460,2012-04-03 18:25
1060,4221,2012-04-03 18:26
140,3380,2012-04-03 18:28
544,2056,2012-04-03 18:28
286,4953,2012-04-03 18:29
310,1334,2012-04-03 18:29
286,3193,2012-04-03 18:29
1008,1460,2012-04-03 18:29
571,3263,2012-04-03 18:30
738,3127,2012-04-03 18:30
136,818,2012-04-03 18:30
773,338,2012-04-03 18:30
294,3585,2012-04-03 18:33
671,4340,2012-04-03 18:35
681,4430,2012-04-03 18:36
1050,185,2012-04-03 18:36
202,2938,2012-04-03 18:36
959,2853,2012-04-03 18:36
812,442,2012-04-03 18:37
1077,3921,2012-04-03 18:37
1014,5133,2012-04-03 18:38
881,3922,2012-04-03 18:39
608,752,2012-04-03 18:39
1020,4371,2012-04-03 18:40
659,3752,2012-04-03 18:41
669,2067,2012-04-03 18:44
669,4158,2012-04-03 18:44
143,4173,2012-04-03 18:45
745,4922,2012-04-03 18:45
543,4091,2012-04-03 18:45
737,307,2012-04-03 18:45
543,2417,2012-04-03 18:45
63,100,2012-04-03 18:46
153,1328,2012-04-03 18:46
153,2124,2012-04-03 18:46
543,4666,2012-04-03 18:46
153,3315,2012-04-03 18:46
305,3965,2012-04-03 18:47
1059,3038,2012-04-03 18:48
152,1702,2012-04-03 18:49
252,99,2012-04-03 18:49
286,4369,2012-04-03 18:50
286,27,2012-04-03 18:50
648,1641,2012-04-03 18:50
724,360,2012-04-03 18:51
364,4793,2012-04-03 18:52
871,3907,2012-04-03 18:53
468,3060,2012-04-03 18:53
832,4637,2012-04-03 18:53
543,2491,2012-04-03 18:54
543,1294,2012-04-03 18:54
827,4926,2012-04-03 18:54
848,2539,2012-04-03 18:54
416,1097,2012-04-03 18:55
492,4449,2012-04-03 18:57
549,4235,2012-04-03 18:58
466,862,2012-04-03 18:59
827,995,2012-04-03 19:00
1065,4323,2012-04-03 19:02
737,114,2012-04-03 19:02
649,3519,2012-04-03 19:03
807,652,2012-04-03 19:04
595,3519,2012-04-03 19:04
351,1521,2012-04-03 19:04
529,4061,2012-04-03 19:05
413,3413,2012-04-03 19:06
848,3717,2012-04-03 19:06
286,3724,2012-04-03 19:06
115,926,2012-04-03 19:07
252,839,2012-04-03 19:08
353,2299,2012-04-03 19:08
12,311,2012-04-03 19:09
218,3498,2012-04-03 19:10
956,1621,2012-04-03 19:10
182,862,2012-04-03 19:11
796,314,2012-04-03 19:13
151,3128,2012-04-03 19:13
348,3206,2012-04-03 19:13
87,3409,2012-04-03 19:13
1057,1897,2012-04-03 19:13
1057,3574,2012-04-03 19:14
54,2513,2012-04-03 19:14
801,4626,2012-04-03 19:14
563,2860,2012-04-03 19:15
855,5079,2012-04-03 19:15
1044,254,2012-04-03 19:15
140,3102,2012-04-03 19:16
1044,1905,2012-04-03 19:16
767,4083,2012-04-03 19:17
1058,1358,2012-04-03 19:17
533,1390,2012-04-03 19:21
627,4242,2012-04-03 19:21
591,633,2012-04-03 19:22
891,3805,2012-04-03 19:22
54,1943,2012-04-03 19:22
848,318,2012-04-03 19:22
595,1334,2012-04-03 19:24
725,385,2012-04-03 19:27
1048,385,2012-04-03 19:27
551,4346,2012-04-03 19:27
827,2286,2012-04-03 19:27
632,2508,2012-04-03 19:27
207,4088,2012-04-03 19:28
328,3517,2012-04-03 19:28
28,3189,2012-04-03 19:29
759,2239,2012-04-03 19:30
378,3382,2012-04-03 19:30
994,160,2012-04-03 19:30
309,2588,2012-04-03 19:30
347,4659,2012-04-03 19:32
1058,3116,2012-04-03 19:33
614,802,2012-04-03 19:37
218,4903,2012-04-03 19:37
484,2486,2012-04-03 19:39
457,398,2012-04-03 19:39
691,4413,2012-04-03 19:40
496,1066,2012-04-03 19:42
279,4675,2012-04-03 19:42
827,156,2012-04-03 19:43
969,1883,2012-04-03 19:43
735,2173,2012-04-03 19:44
29,884,2012-04-03 19:45
994,4000,2012-04-03 19:45
279,4111,2012-04-03 19:46
635,839,2012-04-03 19:48
130,4306,2012-04-03 19:48
635,3777,2012-04-03 19:48
233,385,2012-04-03 19:48
959,485,2012-04-03 19:48
137,1904,2012-04-03 19:49
994,3390,2012-04-03 19:50
364,2225,2012-04-03 19:50
942,93,2012-04-03 19:50
942,93,2012-04-03 19:50
235,4115,2012-04-03 19:51
336,3468,2012-04-03 19:51
448,4055,2012-04-03 19:51
994,4535,2012-04-03 19:51
177,171,2012-04-03 19:52
34,2228,2012-04-03 19:54
433,1634,2012-04-03 19:54
29,2158,2012-04-03 19:56
520,1643,2012-04-03 19:56
1004,2735,2012-04-03 19:59
829,3537,2012-04-03 19:59
916,3382,2012-04-03 20:01
894,3562,2012-04-03 20:02
486,615,2012-04-03 20:03
953,271,2012-04-03 20:03
721,3619,2012-04-03 20:03
78,1987,2012-04-03 20:03
774,444,2012-04-03 20:04
953,676,2012-04-03 20:04
357,3555,2012-04-03 20:06
994,356,2012-04-03 20:07
294,1856,2012-04-03 20:09
347,975,2012-04-03 20:09
126,3812,2012-04-03 20:09
144,578,2012-04-03 20:09
93,2615,2012-04-03 20:10
61,4383,2012-04-03 20:11
651,1761,2012-04-03 20:13
431,1711,2012-04-03 20:13
675,840,2012-04-03 20:13
928,1437,2012-04-03 20:13
462,4242,2012-04-03 20:14
919,4410,2012-04-03 20:14
61,2353,2012-04-03 20:15
877,3045,2012-04-03 20:15
462,3128,2012-04-03 20:15
371,3324,2012-04-03 20:17
467,4793,2012-04-03 20:18
520,5067,2012-04-03 20:19
626,3165,2012-04-03 20:19
759,386,2012-04-03 20:19
520,2389,2012-04-03 20:19
520,4099,2012-04-03 20:21
642,2620,2012-04-03 20:23
279,1232,2012-04-03 20:23
459,836,2012-04-03 20:24
981,3000,2012-04-03 20:25
321,2266,2012-04-03 20:26
209,3159,2012-04-03 20:27
969,2187,2012-04-03 20:27
732,4795,2012-04-03 20:28
866,1206,2012-04-03 20:28
405,3973,2012-04-03 20:29
767,2560,2012-04-03 20:30
891,176,2012-04-03 20:30
368,4716,2012-04-03 20:32
724,1265,2012-04-03 20:32
47,3519,2012-04-03 20:33
635,603,2012-04-03 20:33
384,1109,2012-04-03 20:33
306,552,2012-04-03 20:34
414,37,2012-04-03 20:34
302,1517,2012-04-03 20:34
595,123,2012-04-03 20:35
148,1019,2012-04-03 20:36
637,5050,2012-04-03 20:37
436,3153,2012-04-03 20:38
737,3297,2012-04-03 20:39
294,1819,2012-04-03 20:39
243,1760,2012-04-03 20:40
1005,2452,2012-04-03 20:40
1005,2828,2012-04-03 20:40
849,1630,2012-04-03 20:42
637,4747,2012-04-03 20:42
405,1876,2012-04-03 20:44
565,1295,2012-04-03 20:44
737,808,2012-04-03 20:45
561,1050,2012-04-03 20:46
737,4431,2012-04-03 20:47
151,1197,2012-04-03 20:49
800,4632,2012-04-03 20:51
953,999,2012-04-03 20:52
404,3110,2012-04-03 20:52
681,4101,2012-04-03 20:53
1030,1460,2012-04-03 20:54
773,941,2012-04-03 20:55
388,1400,2012-04-03 20:56
87,3021,2012-04-03 20:56
405,557,2012-04-03 20:56
427,3666,2012-04-03 20:57
478,4796,2012-04-03 20:58
1004,2735,2012-04-03 21:00
396,1558,2012-04-03 21:00
257,4175,2012-04-03 21:01
336,826,2012-04-03 21:01
258,3619,2012-04-03 21:01
861,2488,2012-04-03 21:04
450,4274,2012-04-03 21:05
903,427,2012-04-03 21:05
489,1471,2012-04-03 21:06
405,1460,2012-04-03 21:09
572,1440,2012-04-03 21:10
656,801,2012-04-03 21:10
294,1785,2012-04-03 21:11
650,3165,2012-04-03 21:11
196,751,2012-04-03 21:12
151,3461,2012-04-03 21:13
405,1460,2012-04-03 21:13
302,4944,2012-04-03 21:13
682,2402,2012-04-03 21:14
305,4216,2012-04-03 21:16
286,2679,2012-04-03 21:17
286,1184,2012-04-03 21:18
286,2482,2012-04-03 21:18
286,21,2012-04-03 21:19
405,3127,2012-04-03 21:20
80,359,2012-04-03 21:21
961,1206,2012-04-03 21:24
90,4507,2012-04-03 21:25
605,2588,2012-04-03 21:26
122,522,2012-04-03 21:26
686,3075,2012-04-03 21:26
122,4310,2012-04-03 21:26
743,799,2012-04-03 21:27
61,422,2012-04-03 21:28
853,2872,2012-04-03 21:30
956,3264,2012-04-03 21:30
953,3992,2012-04-03 21:31
923,4232,2012-04-03 21:32
484,2888,2012-04-03 21:37
963,2632,2012-04-03 21:38
667,628,2012-04-03 21:39
803,3933,2012-04-03 21:40
899,3328,2012-04-03 21:42
405,3607,2012-04-03 21:42
988,4273,2012-04-03 21:42
635,618,2012-04-03 21:44
871,1629,2012-04-03 21:45
80,560,2012-04-03 21:47
236,2246,2012-04-03 21:47
1065,3819,2012-04-03 21:47
144,584,2012-04-03 21:47
405,3900,2012-04-03 21:48
982,377,2012-04-03 21:49
170,3971,2012-04-03 21:49
752,3497,2012-04-03 21:49
61,3666,2012-04-03 21:50
405,3755,2012-04-03 21:51
794,995,2012-04-03 21:52
314,1927,2012-04-03 21:55
922,4028,2012-04-03 21:56
40,97,2012-04-03 21:58
86,490,2012-04-03 22:00
336,2128,2012-04-03 22:00
35,2007,2012-04-03 22:01
712,1965,2012-04-03 22:02
648,12,2012-04-03 22:03
332,4164,2012-04-03 22:05
704,4378,2012-04-03 22:06
886,3315,2012-04-03 22:11
886,3315,2012-04-03 22:11
635,3777,2012-04-03 22:12
613,3318,2012-04-03 22:13
635,839,2012-04-03 22:13
151,566,2012-04-03 22:14
418,3834,2012-04-03 22:15
687,3082,2012-04-03 22:17
341,995,2012-04-03 22:18
687,3024,2012-04-03 22:20
352,3940,2012-04-03 22:21
796,4875,2012-04-03 22:21
631,688,2012-04-03 22:23
341,4760,2012-04-03 22:24
994,3588,2012-04-03 22:26
935,3616,2012-04-03 22:27
624,268,2012-04-03 22:27
973,3247,2012-04-03 22:28
909,886,2012-04-03 22:31
341,839,2012-04-03 22:31
909,4051,2012-04-03 22:32
715,4393,2012-04-03 22:32
909,4709,2012-04-03 22:32
787,2742,2012-04-03 22:41
326,1106,2012-04-03 22:41
273,1240,2012-04-03 22:44
202,4395,2012-04-03 22:44
347,4659,2012-04-03 22:49
467,2961,2012-04-03 22:51
371,2919,2012-04-03 22:52
506,5070,2012-04-03 22:56
648,1381,2012-04-03 22:58
579,1520,2012-04-03 23:03
1009,1555,2012-04-03 23:03
336,2987,2012-04-03 23:07
51,881,2012-04-03 23:08
615,1958,2012-04-03 23:09
615,3661,2012-04-03 23:09
1009,1555,2012-04-03 23:13
1009,1555,2012-04-03 23:13
1009,1049,2012-04-03 23:15
237,2570,2012-04-03 23:16
840,1193,2012-04-03 23:18
69,3886,2012-04-03 23:18
547,3177,2012-04-03 23:20
547,250,2012-04-03 23:21
594,4318,2012-04-03 23:23
1058,2730,2012-04-03 23:27
309,385,2012-04-03 23:28
1014,2669,2012-04-03 23:28
954,3087,2012-04-03 23:33
58,3709,2012-04-03 23:34
954,177,2012-04-03 23:36
533,2658,2012-04-03 23:40
533,4969,2012-04-03 23:40
209,1761,2012-04-03 23:42
759,3011,2012-04-03 23:46
954,2394,2012-04-03 23:46
37,4804,2012-04-03 23:46
954,3200,2012-04-03 23:47
818,5024,2012-04-03 23:48
336,4127,2012-04-03 23:48
771,488,2012-04-03 23:50
771,1909,2012-04-03 23:50
288,2715,2012-04-03 23:51
635,1996,2012-04-03 23:51
70,2243,2012-04-03 23:53
339,1599,2012-04-03 23:54
364,2138,2012-04-03 23:56
647,4700,2012-04-03 23:59
500,4068,2012-04-04 00:03
624,2596,2012-04-04 00:05
851,3351,2012-04-04 00:06
1038,431,2012-04-04 00:07
594,4180,2012-04-04 00:08
712,3226,2012-04-04 00:08
886,568,2012-04-04 00:10
634,3812,2012-04-04 00:11
852,1197,2012-04-04 00:11
53,3739,2012-04-04 00:13
53,920,2012-04-04 00:14
53,293,2012-04-04 00:15
31,4736,2012-04-04 00:17
336,2962,2012-04-04 00:18
40,3265,2012-04-04 00:21
1027,1028,2012-04-04 00:25
53,2682,2012-04-04 00:26
53,1103,2012-04-04 00:27
996,5076,2012-04-04 00:29
508,3815,2012-04-04 00:30
1077,3921,2012-04-04 00:30
996,3699,2012-04-04 00:33
996,913,2012-04-04 00:33
53,2106,2012-04-04 00:34
166,2309,2012-04-04 00:34
996,3707,2012-04-04 00:35
19,3226,2012-04-04 00:38
735,2488,2012-04-04 00:40
873,3111,2012-04-04 00:45
61,1791,2012-04-04 00:46
61,1791,2012-04-04 00:46
827,995,2012-04-04 00:48
630,2675,2012-04-04 00:48
827,4926,2012-04-04 00:50
520,3227,2012-04-04 00:53
520,2389,2012-04-04 00:53
971,1251,2012-04-04 01:03
1038,3466,2012-04-04 01:04
898,3301,2012-04-04 01:06
898,4953,2012-04-04 01:07
520,3645,2012-04-04 01:08
61,644,2012-04-04 01:08
634,2797,2012-04-04 01:09
61,1466,2012-04-04 01:10
913,3967,2012-04-04 01:12
69,1121,2012-04-04 01:12
741,3952,2012-04-04 01:13
913,1805,2012-04-04 01:13
490,3637,2012-04-04 01:17
451,4854,2012-04-04 01:22
488,3120,2012-04-04 01:30
79,182,2012-04-04 01:35
37,4423,2012-04-04 01:35
459,4829,2012-04-04 01:44
328,362,2012-04-04 01:47
735,3339,2012-04-04 01:51
433,4447,2012-04-04 02:01
433,4948,2012-04-04 02:03
735,2255,2012-04-04 02:06
735,3421,2012-04-04 02:09
445,1723,2012-04-04 02:11
959,2853,2012-04-04 02:12
735,3591,2012-04-04 02:13
735,308,2012-04-04 02:19
351,3334,2012-04-04 02:25
563,2450,2012-04-04 02:30
465,2029,2012-04-04 02:33
61,4259,2012-04-04 02:36
61,3991,2012-04-04 02:36
735,2331,2012-04-04 02:36
764,4144,2012-04-04 02:44
861,1081,2012-04-04 02:55
27,707,2012-04-04 02:56
61,4143,2012-04-04 03:00
743,3268,2012-04-04 03:08
130,5096,2012-04-04 03:09
352,4835,2012-04-04 03:12
574,1369,2012-04-04 03:13
299,302,2012-04-04 03:13
299,3589,2012-04-04 03:13
299,2137,2012-04-04 03:16
27,3606,2012-04-04 03:20
851,2351,2012-04-04 03:21
243,2968,2012-04-04 03:21
851,1666,2012-04-04 03:21
851,3032,2012-04-04 03:22
122,522,2012-04-04 03:25
299,883,2012-04-04 03:26
299,2354,2012-04-04 03:26
431,1612,2012-04-04 03:40
624,2709,2012-04-04 03:48
431,1474,2012-04-04 04:03
294,4080,2012-04-04 04:14
62,301,2012-04-04 04:20
294,3461,2012-04-04 04:22
401,2303,2012-04-04 04:28
401,850,2012-04-04 04:28
134,4204,2012-04-04 05:24
205,2217,2012-04-04 05:27
232,1690,2012-04-04 05:30
715,3812,2012-04-04 05:39
391,3669,2012-04-04 05:42
134,3519,2012-04-04 05:45
1053,3351,2012-04-04 05:54
173,2702,2012-04-04 05:54
334,3643,2012-04-04 06:04
334,2826,2012-04-04 06:04
325,4381,2012-04-04 06:13
994,3588,2012-04-04 06:14
953,1288,2012-04-04 06:14
953,3141,2012-04-04 06:14
325,2712,2012-04-04 06:15
953,2565,2012-04-04 06:15
325,4393,2012-04-04 06:16
953,2824,2012-04-04 06:16
240,4005,2012-04-04 06:28
57,481,2012-04-04 06:29
313,2258,2012-04-04 06:30
216,3879,2012-04-04 06:31
42,5,2012-04-04 06:32
1053,3689,2012-04-04 06:35
969,1452,2012-04-04 06:36
311,3381,2012-04-04 06:36
969,914,2012-04-04 06:36
526,3519,2012-04-04 06:38
313,3136,2012-04-04 06:38
27,1649,2012-04-04 06:39
1006,3881,2012-04-04 06:41
714,4738,2012-04-04 06:43
714,3657,2012-04-04 06:44
140,4976,2012-04-04 06:48
283,3535,2012-04-04 06:48
956,2641,2012-04-04 06:49
159,2638,2012-04-04 06:49
313,1868,2012-04-04 06:51
1017,4967,2012-04-04 06:51
139,2699,2012-04-04 06:52
904,1943,2012-04-04 06:52
111,3812,2012-04-04 06:52
780,3016,2012-04-04 06:53
224,2205,2012-04-04 06:54
239,590,2012-04-04 06:54
798,188,2012-04-04 06:56
27,2599,2012-04-04 06:57
336,368,2012-04-04 06:58
240,2235,2012-04-04 06:58
984,4770,2012-04-04 07:00
924,1489,2012-04-04 07:00
416,1097,2012-04-04 07:01
1074,2493,2012-04-04 07:02
139,4386,2012-04-04 07:03
134,4363,2012-04-04 07:04
556,3449,2012-04-04 07:05
1006,3550,2012-04-04 07:07
938,351,2012-04-04 07:07
313,3908,2012-04-04 07:07
1044,254,2012-04-04 07:11
1044,1905,2012-04-04 07:11
791,1843,2012-04-04 07:13
242,1669,2012-04-04 07:14
212,2429,2012-04-04 07:15
40,2422,2012-04-04 07:15
534,3950,2012-04-04 07:16
196,3387,2012-04-04 07:16
704,2531,2012-04-04 07:17
874,436,2012-04-04 07:21
547,4790,2012-04-04 07:21
625,1746,2012-04-04 07:24
950,2147,2012-04-04 07:25
551,3046,2012-04-04 07:26
1026,1595,2012-04-04 07:28
769,2571,2012-04-04 07:29
965,1735,2012-04-04 07:30
454,4073,2012-04-04 07:31
781,4506,2012-04-04 07:32
68,1197,2012-04-04 07:32
204,4056,2012-04-04 07:35
780,339,2012-04-04 07:35
324,3708,2012-04-04 07:37
365,4286,2012-04-04 07:37
365,3541,2012-04-04 07:37
324,2347,2012-04-04 07:38
1066,1211,2012-04-04 07:38
1016,3719,2012-04-04 07:41
356,37,2012-04-04 07:41
115,1245,2012-04-04 07:41
848,3717,2012-04-04 07:41
787,2742,2012-04-04 07:41
367,1523,2012-04-04 07:43
147,5016,2012-04-04 07:43
1004,1330,2012-04-04 07:43
172,3166,2012-04-04 07:45
147,4319,2012-04-04 07:48
244,3881,2012-04-04 07:48
367,1799,2012-04-04 07:49
469,1548,2012-04-04 07:49
167,2889,2012-04-04 07:49
367,1799,2012-04-04 07:49
848,2539,2012-04-04 07:50
1001,92,2012-04-04 07:50
798,2913,2012-04-04 07:50
32,3181,2012-04-04 07:51
469,1548,2012-04-04 07:52
861,750,2012-04-04 07:52
900,2334,2012-04-04 07:53
367,3563,2012-04-04 07:53
775,4704,2012-04-04 07:53
637,5050,2012-04-04 07:54
687,1924,2012-04-04 07:54
923,2725,2012-04-04 07:54
614,802,2012-04-04 07:54
68,4490,2012-04-04 07:55
798,4714,2012-04-04 07:55
687,693,2012-04-04 07:55
444,863,2012-04-04 07:56
964,730,2012-04-04 07:59
118,3527,2012-04-04 08:00
118,2835,2012-04-04 08:00
118,3018,2012-04-04 08:00
47,1733,2012-04-04 08:00
1048,3651,2012-04-04 08:00
1017,1778,2012-04-04 08:00
908,4618,2012-04-04 08:04
954,731,2012-04-04 08:05
615,2245,2012-04-04 08:05
116,1841,2012-04-04 08:05
615,509,2012-04-04 08:06
397,3615,2012-04-04 08:06
991,3812,2012-04-04 08:06
328,3218,2012-04-04 08:07
328,55,2012-04-04 08:07
